"USER_ID","YOB","Gender","Income","HouseholdStatus","EducationLevel","Q124742","Q124122","Q123464","Q123621","Q122769","Q122770","Q122771","Q122120","Q121699","Q121700","Q120978","Q121011","Q120379","Q120650","Q120472","Q120194","Q120012","Q120014","Q119334","Q119851","Q119650","Q118892","Q118117","Q118232","Q118233","Q118237","Q117186","Q117193","Q116797","Q116881","Q116953","Q116601","Q116441","Q116448","Q116197","Q115602","Q115777","Q115610","Q115611","Q115899","Q115390","Q114961","Q114748","Q115195","Q114517","Q114386","Q113992","Q114152","Q113583","Q113584","Q113181","Q112478","Q112512","Q112270","Q111848","Q111580","Q111220","Q110740","Q109367","Q108950","Q109244","Q108855","Q108617","Q108856","Q108754","Q108342","Q108343","Q107869","Q107491","Q106993","Q106997","Q106272","Q106388","Q106389","Q106042","Q105840","Q105655","Q104996","Q103293","Q102906","Q102674","Q102687","Q102289","Q102089","Q101162","Q101163","Q101596","Q100689","Q100680","Q100562","Q99982","Q100010","Q99716","Q99581","Q99480","Q98869","Q98578","Q98059","Q98078","Q98197","Q96024"
5990,16,"Male",62.5,"Single (no kids)","Current K-12","No","Yes","No","No","Yes","Yes","Public","Yes","No","No","Yes","Yes","No","Yes","Science","Study first","No","Yes","Yes","Yes","Receiving","No","Yes","Idealist","No","No","Cool headed","Standard hours","No","Right","Yes","No","No","Yes","A.M.","Yes","Start","Yes","Yes","Me","Yes","No","Yes","Yes","Yes","TMI","No","No","Tunes","People","No","No","Yes","No","Yes","Supportive","No","Mac","No","Risk-friendly","No","Yes!","No","Socialize","No","In-person","No","No","Yes","Yes","Yay people!","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes","Yes","Own","Pessimist","Mom","Yes","No","Yes","No","Nope","No","No","No","Yes","No","No","Yes","Yes","No","No"
6000,39,"Male",37.5,"Single (no kids)","Master's Degree","No","Yes","No","Yes","No","No","Public","No","Yes","No","Yes","No","Yes","Yes","Science","Study first","No","No","No","Yes","Receiving","No","No","Pragmatist","No","Yes","Hot headed","Odd hours","Yes","Right","No","Yes","Yes","No","P.M.","Yes","Start","Yes","No","Me","No","Yes","Yes","No","No","Mysterious","No","No","Talk","Technology","No","Yes","Yes","No","Yes","Demanding","No","Mac","Yes","Risk-friendly","Yes","Umm...","No","Space","Yes","Online","Yes","Yes","Yes","No","Grrr people","Yes","No","Yes","No","Yes","No","No","No","Yes","Yes","Yes","No","Rent","Pessimist","Dad","No","Yes","Yes","No","Check!","No","Yes","No","Yes","No","Yes","Only-child","No","No","Yes"
6006,26,"Female",37.5,"Single (no kids)","Associate's Degree","Yes","Yes","No","Yes","Yes","Yes","Public","Yes","Yes","No","No","Yes","No","Yes","Art","Study first","Yes","Yes","Yes","No","Giving","No","Yes","Pragmatist","No","Yes","Cool headed","Odd hours","No","Happy","No","No","Yes","No","A.M.","No","End","Yes","Yes","Circumstances","Yes","Yes","No","No","No","Mysterious","Yes","No","Tunes","Technology","No","Yes","No","Yes","No","Demanding","No","PC","Yes","Cautious","No","Umm...","No","Space","No","In-person","Yes","No","Yes","Yes","Grrr people","Yes","No","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","No","Rent","Optimist","Mom","No","No","Yes","Yes","Check!","Yes","No","No","Yes","Yes","No","Yes","No","No","No"
6016,38,"Male",87.5,"Married (w/kids)","Master's Degree","No","No","No","Yes","No","No","Public","No","No","No","Yes","No","Yes","Yes","Science","Study first","No","Yes","Yes","No","Giving","Yes","Yes","Idealist","No","No","Cool headed","Standard hours","No","Right","Yes","No","Yes","No","P.M.","Yes","End","Yes","Yes","Circumstances","No","Yes","Yes","No","Yes","Mysterious","No","No","Talk","People","Yes","Yes","Yes","No","Yes","Supportive","No","Mac","No","Cautious","No","Yes!","No","Space","No","In-person","No","Yes","Yes","Yes","Yay people!","No","No","No","No","No","No","Yes","No","No","No","No","Yes","Own","Optimist","Dad","No","Yes","Yes","Yes","Nope","Yes","No","No","Yes","Yes","No","Yes","No","Yes","No"
6018,35,"Male",87.5,"Married (w/kids)","Master's Degree","No","No","No","Yes","No","No","Public","No","Yes","No","No","No","Yes","Yes","Art","Study first","No","Yes","Yes","No","Giving","No","Yes","Idealist","No","No","Cool headed","Standard hours","Yes","Happy","Yes","No","Yes","Yes","P.M.","Yes","Start","Yes","Yes","Me","No","No","No","Yes","No","TMI","No","No","Talk","People","Yes","No","No","No","Yes","Supportive","No","PC","Yes","Cautious","No","Yes!","No","Socialize","No","Online","No","Yes","Yes","Yes","Yay people!","Yes","No","No","No","Yes","No","No","No","No","No","Yes","Yes","Own","Optimist","Dad","Yes","Yes","Yes","Yes","Nope","Yes","No","No","No","Yes","No","Yes","No","Yes","Yes"
6020,39,"Male",37.5,"Single (no kids)","Bachelor's Degree","No","Yes","No","Yes","No","No","Public","No","Yes","Yes","Yes","Yes","Yes","Yes","Art","Try first","No","No","No","No","Giving","No","Yes","Idealist","Yes","Yes","Cool headed","Odd hours","No","Right","No","No","No","Yes","P.M.","No","Start","No","No","Circumstances","No","No","Yes","Yes","Yes","Mysterious","No","Yes","Talk","People","No","Yes","Yes","No","No","Demanding","No","PC","Yes","Risk-friendly","No","Umm...","No","Space","No","In-person","Yes","Yes","Yes","Yes","Grrr people","No","No","No","Yes","No","No","Yes","No","Yes","Yes","No","No","Own","Pessimist","Dad","Yes","Yes","Yes","Yes","Nope","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No"
6023,37,"Female",87.5,"Single (no kids)","Master's Degree","Yes","Yes","No","Yes","No","Yes","Private","No","Yes","Yes","Yes","Yes","Yes","Yes","Science","Study first","No","Yes","Yes","No","Giving","Yes","No","Pragmatist","Yes","Yes","Hot headed","Standard hours","No","Right","Yes","Yes","No","Yes","A.M.","Yes","End","Yes","Yes","Circumstances","Yes","No","No","Yes","Yes","TMI","No","No","Tunes","People","No","Yes","Yes","No","Yes","Demanding","No","Mac","Yes","Cautious","No","Umm...","No","Space","No","In-person","Yes","Yes","Yes","No","Grrr people","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","No","Rent","Pessimist","Mom","Yes","Yes","Yes","Yes","Check!","Yes","Yes","No","Yes","No","Yes","Yes","No","No","Yes"
6024,38,"Male",170,"Married (w/kids)","Doctoral Degree","No","No","No","Yes","Yes","Yes","Public","Yes","Yes","No","Yes","No","Yes","Yes","Science","Try first","No","Yes","Yes","No","Giving","Yes","No","Pragmatist","No","No","Cool headed","Odd hours","No","Happy","Yes","Yes","Yes","Yes","P.M.","No","End","Yes","Yes","Circumstances","Yes","No","Yes","Yes","No","TMI","Yes","Yes","Tunes","Technology","No","Yes","Yes","Yes","Yes","Demanding","No","PC","Yes","Cautious","No","Umm...","No","Socialize","Yes","In-person","Yes","Yes","Yes","Yes","Yay people!","Yes","Yes","Yes","No","No","No","Yes","Yes","No","Yes","Yes","No","Own","Optimist","Dad","No","No","No","Yes","Nope","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes"
6026,19,"Female",125,"Single (no kids)","Current K-12","No","No","No","No","No","Yes","Private","No","Yes","Yes","No","No","No","Yes","Science","Study first","Yes","Yes","No","Yes","Giving","Yes","No","Pragmatist","No","No","Cool headed","Standard hours","No","Happy","Yes","Yes","No","Yes","A.M.","Yes","Start","Yes","Yes","Me","Yes","Yes","No","No","No","Mysterious","No","No","Tunes","Technology","No","Yes","Yes","No","Yes","Supportive","Yes","Mac","No","Risk-friendly","No","Umm...","No","Space","No","Online","No","Yes","Yes","Yes","Yay people!","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Own","Optimist","Dad","No","No","Yes","Yes","Check!","Yes","No","No","Yes","Yes","No","Only-child","No","No","Yes"
6028,23,"Male",12,"Single (no kids)","Current Undergraduate","No","No","No","No","Yes","No","Private","Yes","No","No","No","Yes","Yes","Yes","Science","Study first","No","No","Yes","Yes","Giving","Yes","Yes","Idealist","No","No","Cool headed","Standard hours","Yes","Happy","Yes","Yes","No","No","P.M.","Yes","End","Yes","No","Circumstances","No","No","No","Yes","No","Mysterious","No","Yes","Tunes","People","Yes","Yes","No","Yes","Yes","Supportive","No","PC","No","Cautious","No","Umm...","No","Socialize","Yes","In-person","No","Yes","Yes","Yes","Yay people!","Yes","No","Yes","No","No","Yes","No","No","No","No","Yes","Yes","Rent","Optimist","Dad","No","No","Yes","Yes","Check!","No","No","No","No","Yes","No","Yes","Yes","Yes","Yes"
6033,19,"Female",125,"Single (no kids)","Current Undergraduate","No","Yes","Yes","No","No","No","Public","Yes","Yes","Yes","Yes","No","Yes","Yes","Art","Try first","Yes","No","Yes","Yes","Receiving","Yes","No","Idealist","No","No","Hot headed","Standard hours","Yes","Happy","No","Yes","No","Yes","P.M.","No","Start","Yes","No","Me","Yes","Yes","No","Yes","No","TMI","No","No","Tunes","People","No","Yes","Yes","Yes","No","Supportive","No","Mac","Yes","Cautious","Yes","Umm...","No","Space","Yes","In-person","No","No","Yes","Yes","Grrr people","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Own","Optimist","Dad","Yes","No","Yes","Yes","Nope","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No"
6035,46,"Female",87.5,"Married (w/kids)","Bachelor's Degree","No","No","No","Yes","No","No","Public","No","Yes","No","Yes","No","No","Yes","Science","Try first","Yes","No","No","No","Giving","No","No","Idealist","No","Yes","Cool headed","Standard hours","No","Happy","No","Yes","Yes","Yes","P.M.","Yes","End","Yes","No","Me","No","Yes","Yes","Yes","Yes","TMI","No","No","Talk","Technology","No","Yes","Yes","Yes","No","Demanding","No","Mac","Yes","Risk-friendly","No","Yes!","No","Space","No","Online","Yes","No","Yes","Yes","Yay people!","Yes","Yes","No","No","No","Yes","No","No","Yes","Yes","Yes","No","Rent","Optimist","Mom","No","Yes","Yes","Yes","Check!","Yes","No","No","No","Yes","Yes","Yes","Yes","No","Yes"
6041,15,"Male",12,"Single (no kids)","Current K-12","No","Yes","No","No","No","No","Public","No","Yes","No","Yes","Yes","No","No","Science","Try first","No","No","No","No","Giving","Yes","Yes","Idealist","No","No","Hot headed","Standard hours","No","Happy","No","Yes","No","Yes","A.M.","No","End","No","No","Circumstances","No","Yes","No","Yes","Yes","Mysterious","No","No","Tunes","People","Yes","Yes","Yes","No","No","Demanding","No","Mac","Yes","Cautious","No","Umm...","No","Space","Yes","In-person","No","No","No","Yes","Grrr people","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","No","Own","Pessimist","Mom","No","Yes","No","Yes","Nope","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
6054,16,"Male",170,"Single (no kids)","Current K-12","No","No","No","No","No","Yes","Private","No","No","No","No","No","No","Yes","Science","Study first","No","Yes","No","No","Receiving","Yes","Yes","Pragmatist","No","No","Hot headed","Standard hours","No","Right","Yes","Yes","No","Yes","A.M.","Yes","Start","No","No","Circumstances","No","No","Yes","Yes","No","Mysterious","Yes","No","Tunes","People","Yes","No","Yes","Yes","Yes","Supportive","No","PC","Yes","Cautious","No","Yes!","No","Space","Yes","Online","No","Yes","Yes","Yes","Grrr people","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","Yes","No","Own","Pessimist","Mom","No","No","Yes","No","Nope","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
6057,78,"Female",37.5,"Married (no kids)","Bachelor's Degree","No","No","No","Yes","No","Yes","Public","No","Yes","No","No","No","No","No","Science","Study first","No","No","No","Yes","Receiving","Yes","No","Pragmatist","No","No","Hot headed","Standard hours","No","Happy","Yes","Yes","No","No","A.M.","Yes","Start","No","No","Circumstances","Yes","No","Yes","No","Yes","Mysterious","Yes","No","Talk","People","No","Yes","Yes","No","No","Supportive","No","PC","Yes","Cautious","No","Yes!","No","Space","No","In-person","No","Yes","Yes","Yes","Yay people!","Yes","No","No","Yes","No","Yes","No","No","No","No","Yes","No","Own","Optimist","Dad","Yes","Yes","Yes","No","Check!","Yes","No","No","Yes","No","No","Only-child","Yes","No","Yes"
6059,26,"Male",12,"Single (no kids)","Current Undergraduate","Yes","No","No","No","Yes","Yes","Public","Yes","No","Yes","No","Yes","Yes","Yes","Science","Try first","Yes","Yes","Yes","No","Giving","Yes","No","Idealist","No","Yes","Cool headed","Standard hours","No","Happy","Yes","No","No","No","P.M.","Yes","Start","Yes","No","Me","No","Yes","Yes","Yes","Yes","TMI","No","No","Tunes","Technology","No","Yes","Yes","Yes","No","Supportive","No","PC","No","Cautious","No","Yes!","No","Space","Yes","In-person","No","No","Yes","Yes","Grrr people","No","No","Yes","Yes","No","No","No","Yes","Yes","No","No","No","Rent","Pessimist","Dad","No","No","Yes","Yes","Nope","Yes","No","Yes","No","Yes","No","Yes","No","No","Yes"
6060,48,"Male",170,"Married (w/kids)","Bachelor's Degree","Yes","No","No","Yes","Yes","No","Public","No","Yes","No","Yes","Yes","No","Yes","Art","Study first","Yes","Yes","Yes","No","Giving","Yes","No","Pragmatist","No","Yes","Cool headed","Odd hours","Yes","Happy","Yes","Yes","No","No","P.M.","Yes","Start","Yes","No","Circumstances","No","No","Yes","Yes","No","TMI","No","No","Talk","Technology","Yes","Yes","Yes","Yes","Yes","Supportive","No","PC","Yes","Cautious","No","Yes!","No","Space","No","In-person","Yes","No","Yes","Yes","Grrr people","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","No","Own","Optimist","Dad","No","No","Yes","Yes","Check!","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
6064,40,"Male",125,"Married (w/kids)","Master's Degree","No","No","No","Yes","No","No","Public","No","Yes","No","Yes","No","Yes","Yes","Science","Study first","No","Yes","No","No","Giving","Yes","Yes","Pragmatist","No","Yes","Cool headed","Standard hours","Yes","Happy","No","Yes","Yes","Yes","P.M.","Yes","End","Yes","Yes","Me","No","Yes","No","No","No","TMI","Yes","Yes","Talk","Technology","Yes","No","Yes","Yes","Yes","Supportive","Yes","PC","No","Risk-friendly","No","Yes!","No","Space","Yes","Online","No","Yes","No","Yes","Yay people!","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","Yes","No","Own","Optimist","Mom","Yes","No","No","Yes","Check!","Yes","No","No","Yes","Yes","No","Yes","No","Yes","Yes"
6067,18,"Female",125,"Single (no kids)","Current K-12","Yes","Yes","No","No","Yes","No","Public","No","No","No","No","No","No","Yes","Science","Try first","Yes","Yes","Yes","Yes","Receiving","Yes","Yes","Pragmatist","No","Yes","Hot headed","Standard hours","No","Right","Yes","Yes","No","Yes","P.M.","Yes","Start","Yes","No","Circumstances","No","No","No","Yes","No","TMI","Yes","Yes","Tunes","People","Yes","Yes","No","No","Yes","Supportive","No","PC","No","Cautious","No","Yes!","No","Space","Yes","In-person","No","Yes","Yes","Yes","Grrr people","No","No","No","No","Yes","No","No","No","Yes","No","Yes","Yes","Own","Pessimist","Dad","No","No","Yes","Yes","Check!","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes"
6071,58,"Female",62.5,"Single (no kids)","Associate's Degree","Yes","Yes","No","Yes","No","Yes","Public","No","Yes","No","No","Yes","No","Yes","Art","Study first","Yes","No","No","Yes","Giving","Yes","Yes","Pragmatist","No","No","Cool headed","Standard hours","No","Happy","Yes","Yes","No","No","A.M.","Yes","End","Yes","No","Circumstances","Yes","No","No","Yes","Yes","Mysterious","No","Yes","Talk","People","No","Yes","No","No","No","Demanding","No","PC","Yes","Cautious","Yes","Yes!","No","Space","No","In-person","No","Yes","Yes","Yes","Yay people!","Yes","No","No","Yes","Yes","Yes","No","No","No","Yes","No","No","Own","Optimist","Mom","Yes","Yes","No","Yes","Check!","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No"
6074,19,"Male",170,"Single (no kids)","Current K-12","Yes","No","No","No","No","Yes","Public","Yes","Yes","No","No","Yes","Yes","Yes","Science","Try first","Yes","Yes","No","No","Receiving","Yes","Yes","Pragmatist","No","Yes","Cool headed","Standard hours","No","Happy","No","Yes","No","Yes","A.M.","No","Start","Yes","No","Me","No","No","No","Yes","No","TMI","No","No","Tunes","People","No","No","Yes","No","Yes","Supportive","No","PC","No","Risk-friendly","No","Umm...","Yes","Socialize","Yes","In-person","No","Yes","Yes","Yes","Yay people!","Yes","No","Yes","No","No","Yes","No","Yes","Yes","No","Yes","No","Own","Optimist","Mom","No","No","No","No","Nope","Yes","No","No","No","Yes","Yes","Yes","No","No","Yes"
6075,19,"Male",170,"Single (no kids)","Current K-12","No","Yes","No","No","No","No","Public","Yes","No","No","Yes","No","Yes","Yes","Science","Study first","Yes","Yes","No","No","Receiving","No","Yes","Idealist","No","No","Cool headed","Standard hours","No","Happy","Yes","No","Yes","Yes","P.M.","Yes","Start","Yes","No","Circumstances","No","No","Yes","Yes","Yes","Mysterious","No","No","Tunes","People","No","Yes","Yes","No","Yes","Supportive","Yes","PC","No","Cautious","No","Yes!","No","Space","Yes","In-person","No","Yes","Yes","Yes","Grrr people","Yes","No","No","No","No","Yes","No","No","No","No","Yes","No","Own","Optimist","Dad","No","No","No","No","Nope","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
6077,50,"Female",62.5,"Married (w/kids)","High School Diploma","No","Yes","No","No","Yes","No","Public","Yes","Yes","No","Yes","Yes","No","Yes","Art","Try first","Yes","No","No","No","Giving","Yes","Yes","Pragmatist","Yes","No","Hot headed","Odd hours","No","Happy","No","Yes","No","No","P.M.","Yes","End","Yes","Yes","Circumstances","No","No","No","Yes","No","Mysterious","No","No","Tunes","Technology","Yes","Yes","Yes","No","No","Demanding","Yes","PC","Yes","Cautious","No","Yes!","No","Space","No","In-person","No","Yes","Yes","Yes","Yay people!","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","No","Own","Optimist","Dad","No","Yes","Yes","No","Nope","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","No"
6087,21,"Male",62.5,"Single (no kids)","Current Undergraduate","No","Yes","No","No","No","No","Public","No","Yes","No","No","Yes","Yes","Yes","Art","Study first","No","Yes","Yes","No","Giving","No","Yes","Idealist","Yes","Yes","Cool headed","Odd hours","No","Right","Yes","No","No","Yes","P.M.","Yes","Start","Yes","Yes","Me","No","Yes","Yes","No","Yes","Mysterious","No","Yes","Tunes","People","Yes","Yes","Yes","No","Yes","Demanding","No","Mac","No","Cautious","No","Yes!","No","Socialize","No","In-person","No","No","Yes","No","Yay people!","No","No","Yes","No","Yes","Yes","Yes","No","Yes","No","No","Yes","Own","Optimist","Dad","No","No","Yes","Yes","Check!","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
6094,25,"Female",12,"Single (no kids)","Associate's Degree","Yes","No","No","Yes","No","No","Public","No","No","No","Yes","No","No","Yes","Science","Study first","No","No","No","No","Giving","Yes","Yes","Pragmatist","No","No","Cool headed","Standard hours","No","Right","Yes","Yes","No","No","P.M.","Yes","End","Yes","Yes","Circumstances","No","Yes","Yes","No","No","Mysterious","No","No","Tunes","People","Yes","Yes","Yes","No","Yes","Supportive","Yes","PC","No","Cautious","No","Umm...","Yes","Space","No","Online","Yes","No","No","No","Grrr people","No","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","Rent","Pessimist","Dad","No","Yes","Yes","No","Nope","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","No"
6104,17,"Male",170,"Single (no kids)","Current K-12","Yes","No","No","Yes","No","Yes","Private","No","Yes","No","Yes","No","Yes","Yes","Science","Try first","Yes","Yes","Yes","No","Giving","No","Yes","Pragmatist","No","Yes","Cool headed","Standard hours","Yes","Happy","Yes","Yes","No","Yes","P.M.","Yes","Start","Yes","Yes","Me","Yes","Yes","No","Yes","No","Mysterious","No","Yes","Tunes","People","Yes","No","Yes","Yes","Yes","Supportive","No","Mac","No","Risk-friendly","No","Umm...","No","Socialize","Yes","In-person","No","No","Yes","Yes","Yay people!","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Own","Optimist","Dad","No","No","No","Yes","Check!","No","No","No","No","Yes","No","Only-child","No","Yes","Yes"
6106,17,"Male",12,"Single (no kids)","Current K-12","No","No","No","No","No","No","Public","No","Yes","No","Yes","Yes","Yes","Yes","Art","Try first","No","No","Yes","No","Receiving","Yes","Yes","Idealist","Yes","No","Cool headed","Standard hours","No","Happy","No","Yes","No","No","P.M.","Yes","Start","Yes","No","Me","Yes","Yes","Yes","Yes","No","Mysterious","No","No","Tunes","People","Yes","Yes","Yes","No","Yes","Supportive","No","PC","Yes","Risk-friendly","No","Yes!","Yes","Space","No","In-person","No","No","Yes","Yes","Yay people!","No","No","Yes","No","Yes","No","Yes","Yes","No","No","No","Yes","Rent","Optimist","Dad","No","No","Yes","Yes","Nope","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes"
6113,58,"Male",170,"Married (w/kids)","Doctoral Degree","No","Yes","No","Yes","Yes","Yes","Public","No","Yes","No","No","No","Yes","Yes","Art","Study first","No","Yes","No","Yes","Receiving","Yes","No","Pragmatist","No","Yes","Cool headed","Odd hours","No","Happy","No","Yes","Yes","No","A.M.","No","End","Yes","No","Me","No","Yes","Yes","Yes","Yes","Mysterious","Yes","No","Talk","People","Yes","No","No","No","Yes","Supportive","Yes","Mac","Yes","Risk-friendly","No","Yes!","No","Space","Yes","In-person","Yes","Yes","Yes","Yes","Yay people!","Yes","No","No","Yes","No","No","No","No","No","Yes","Yes","Yes","Own","Optimist","Dad","Yes","Yes","No","Yes","Check!","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes"
6115,29,"Female",12,"Single (no kids)","Bachelor's Degree","Yes","Yes","No","No","No","No","Public","No","No","No","Yes","Yes","Yes","Yes","Art","Study first","Yes","No","Yes","Yes","Receiving","Yes","Yes","Idealist","Yes","Yes","Cool headed","Odd hours","Yes","Happy","No","Yes","No","Yes","P.M.","Yes","End","Yes","No","Me","Yes","Yes","Yes","Yes","Yes","Mysterious","No","Yes","Tunes","Technology","Yes","No","Yes","Yes","Yes","Supportive","Yes","PC","Yes","Risk-friendly","No","Umm...","No","Space","Yes","Online","Yes","No","Yes","No","Grrr people","Yes","No","Yes","No","No","No","No","No","Yes","Yes","No","Yes","Own","Optimist","Mom","No","Yes","Yes","Yes","Nope","Yes","No","No","No","Yes","No","Yes","Yes","No","No"
6116,22,"Male",37.5,"Single (no kids)","Current Undergraduate","Yes","No","Yes","No","No","No","Private","No","Yes","Yes","No","Yes","No","Yes","Art","Study first","No","No","No","Yes","Receiving","No","Yes","Idealist","No","Yes","Cool headed","Standard hours","No","Happy","No","Yes","No","Yes","P.M.","No","Start","Yes","No","Me","Yes","Yes","Yes","Yes","No","TMI","No","No","Tunes","People","No","No","No","Yes","No","Demanding","Yes","PC","No","Risk-friendly","No","Yes!","No","Socialize","Yes","In-person","Yes","No","No","Yes","Yay people!","No","No","Yes","No","No","Yes","Yes","Yes","No","No","No","No","Rent","Optimist","Mom","No","No","No","Yes","Check!","No","No","No","No","No","Yes","Yes","No","No","No"
6120,48,"Male",87.5,"Married (w/kids)","Associate's Degree","Yes","Yes","No","Yes","No","No","Public","No","Yes","No","Yes","No","No","Yes","Science","Try first","Yes","Yes","Yes","No","Giving","Yes","No","Idealist","Yes","Yes","Cool headed","Standard hours","No","Happy","No","Yes","Yes","No","P.M.","Yes","Start","No","No","Circumstances","Yes","No","No","Yes","Yes","TMI","No","Yes","Tunes","Technology","No","No","Yes","No","Yes","Demanding","No","Mac","Yes","Cautious","Yes","Umm...","No","Space","No","In-person","Yes","Yes","Yes","No","Yay people!","Yes","Yes","Yes","No","No","Yes","No","Yes","No","Yes","No","No","Rent","Optimist","Dad","Yes","Yes","No","No","Check!","Yes","No","Yes","Yes","Yes","No","Only-child","No","No","Yes"
6127,20,"Male",12,"Single (no kids)","Current K-12","No","Yes","No","No","No","No","Public","No","Yes","No","Yes","Yes","No","Yes","Art","Try first","No","No","Yes","No","Giving","No","Yes","Idealist","No","Yes","Hot headed","Standard hours","Yes","Happy","No","Yes","Yes","Yes","P.M.","No","End","Yes","No","Me","No","Yes","No","Yes","No","Mysterious","No","Yes","Tunes","People","No","Yes","Yes","Yes","Yes","Demanding","No","PC","No","Risk-friendly","No","Yes!","No","Socialize","Yes","In-person","No","Yes","Yes","Yes","Grrr people","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","No","Yes","Own","Pessimist","Mom","No","No","Yes","Yes","Nope","Yes","No","No","No","Yes","No","Yes","Yes","No","No"
6143,20,"Female",12,"Single (no kids)","Current K-12","Yes","No","No","No","Yes","No","Private","No","No","Yes","Yes","No","No","Yes","Art","Try first","No","No","Yes","Yes","Receiving","No","Yes","Pragmatist","Yes","Yes","Hot headed","Standard hours","Yes","Happy","Yes","No","No","No","P.M.","Yes","Start","Yes","No","Me","No","Yes","No","No","No","TMI","No","No","Tunes","Technology","No","Yes","Yes","Yes","Yes","Supportive","No","PC","Yes","Cautious","Yes","Umm...","No","Space","Yes","In-person","No","Yes","Yes","Yes","Grrr people","No","No","No","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Own","Pessimist","Mom","No","No","Yes","Yes","Nope","No","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes"
6150,45,"Female",62.5,"Married (w/kids)","High School Diploma","Yes","Yes","No","Yes","Yes","Yes","Public","No","Yes","No","No","Yes","No","Yes","Science","Study first","Yes","No","Yes","No","Giving","Yes","No","Idealist","Yes","No","Hot headed","Odd hours","Yes","Happy","Yes","Yes","Yes","Yes","A.M.","No","End","Yes","No","Circumstances","Yes","Yes","No","Yes","Yes","TMI","Yes","Yes","Tunes","Technology","Yes","Yes","Yes","No","No","Demanding","Yes","PC","Yes","Cautious","No","Umm...","No","Socialize","No","Online","Yes","Yes","No","Yes","Yay people!","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Own","Optimist","Mom","Yes","Yes","Yes","Yes","Check!","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","No"
6155,26,"Male",62.5,"Single (no kids)","High School Diploma","Yes","Yes","Yes","Yes","No","Yes","Public","No","No","No","Yes","Yes","No","Yes","Art","Try first","Yes","No","No","No","Giving","No","Yes","Idealist","Yes","Yes","Hot headed","Odd hours","No","Right","No","Yes","No","Yes","P.M.","Yes","End","No","No","Circumstances","Yes","Yes","No","Yes","No","TMI","Yes","No","Tunes","People","No","Yes","Yes","Yes","No","Supportive","No","PC","Yes","Cautious","No","Umm...","No","Socialize","No","In-person","Yes","No","No","Yes","Yay people!","No","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","No","Rent","Pessimist","Mom","No","Yes","Yes","Yes","Nope","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No"
6163,25,"Female",12,"Single (no kids)","Associate's Degree","No","No","Yes","No","No","No","Public","No","Yes","No","No","Yes","Yes","Yes","Science","Try first","Yes","No","No","No","Giving","Yes","No","Idealist","No","Yes","Cool headed","Standard hours","Yes","Happy","No","Yes","Yes","Yes","P.M.","Yes","Start","Yes","Yes","Me","No","No","No","Yes","No","TMI","No","Yes","Tunes","Technology","Yes","Yes","Yes","No","Yes","Supportive","No","Mac","No","Cautious","No","Yes!","No","Socialize","No","In-person","No","No","Yes","Yes","Grrr people","Yes","No","No","Yes","No","Yes","Yes","Yes","No","No","No","No","Own","Pessimist","Dad","No","No","Yes","Yes","Nope","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","No"
